subject	pid	partition	event_time_sec
sub-73	38	train	14250.0
sub-74	39	train	16590.0
sub-74	39	train	27630.0
sub-75	40	validation	5910.0
sub-75	40	validation	11730.0
sub-77	42	train	4530.0
sub-77	42	train	11520.0
sub-77	42	train	17910.0
sub-77	42	train	22020.0
sub-77	42	train	23670.0
sub-78	43	train	25230.0
sub-79	44	validation	26100.0
sub-81	46	train	14850.0
sub-81	46	train	20220.0
sub-81	46	train	21150.0
sub-81	46	train	21750.0
sub-81	46	train	22080.0
sub-81	46	train	26190.0
sub-83	50	train	3090.0
sub-83	50	train	3390.0
sub-83	50	train	6900.0
sub-83	50	train	17730.0
sub-83	50	train	17820.0
sub-83	50	train	25830.0
sub-84	51	train	4050.0
sub-84	51	train	5880.0
sub-84	51	train	17190.0
sub-85	52	test	14730.0
sub-85	52	test	20340.0
sub-85	52	test	24570.0
sub-85	52	test	25260.0
sub-85	52	test	26070.0
sub-86	53	train	840.0
sub-86	53	train	5370.0
sub-86	53	train	6540.0
sub-86	53	train	26610.0
sub-86	53	train	27000.0
sub-86	53	train	27360.0
sub-87	54	train	9810.0
sub-88	55	validation	19890.0
sub-89	56	test	12930.0
sub-89	56	test	13620.0
sub-89	56	test	24810.0
sub-90	57	test	10950.0
sub-90	57	test	15330.0
sub-90	57	test	21510.0
sub-91	58	train	6480.0
sub-91	58	train	12150.0
sub-91	58	train	12390.0
sub-91	58	train	13500.0
sub-91	58	train	23880.0
sub-91	58	train	24960.0
sub-91	58	train	30150.0
sub-92	59	train	13740.0
sub-93	60	train	14280.0
sub-93	60	train	19770.0
sub-93	60	train	20100.0
sub-94	61	train	240.0
sub-94	61	train	390.0
sub-94	61	train	540.0
sub-94	61	train	1050.0
sub-94	61	train	25680.0
sub-95	62	train	21990.0
sub-95	62	train	27690.0
sub-96	63	train	2310.0
sub-96	63	train	2400.0
sub-96	63	train	2730.0
sub-96	63	train	3090.0
sub-96	63	train	3630.0
sub-96	63	train	9210.0
sub-96	63	train	14190.0
sub-96	63	train	24750.0
sub-97	64	validation	8490.0
sub-97	64	validation	16830.0
sub-97	64	validation	27180.0
sub-97	64	validation	27780.0
sub-98	65	train	9600.0
sub-98	65	train	10050.0
sub-98	65	train	10350.0
sub-98	65	train	19080.0
sub-98	65	train	24390.0
sub-98	65	train	25710.0
sub-98	65	train	26040.0
sub-99	66	train	19710.0
sub-99	66	train	29400.0
sub-99	66	train	29700.0
sub-99	66	train	30360.0
sub-100	67	train	15840.0
sub-100	67	train	16470.0
sub-100	67	train	23790.0
sub-100	67	train	23940.0
sub-100	67	train	27600.0
sub-101	68	train	23340.0
sub-102	69	test	11310.0
sub-102	69	test	19680.0
sub-102	69	test	25650.0
sub-104	72	train	16500.0
sub-105	73	validation	17340.0
sub-105	73	validation	26760.0
sub-106	74	test	2970.0
sub-106	74	test	19470.0
sub-107	75	train	1830.0
sub-107	75	train	2130.0
sub-107	75	train	19650.0
sub-108	76	train	3360.0
sub-108	76	train	3630.0
sub-108	76	train	11400.0
sub-108	76	train	28110.0
sub-108	76	train	28620.0
sub-109	96	train	6930.0
sub-109	96	train	12300.0
sub-110	96	train	19710.0
sub-110	96	train	25770.0
sub-111	96	train	9930.0
sub-111	96	train	10320.0
sub-111	96	train	15060.0
sub-112	97	validation	11730.0
sub-112	97	validation	12180.0
sub-112	97	validation	20400.0
sub-113	97	validation	13230.0
sub-113	97	validation	26010.0
sub-115	98	train	630.0
sub-115	98	train	4200.0
sub-115	98	train	18510.0
sub-116	98	train	8790.0
sub-116	98	train	18120.0
sub-116	98	train	20070.0
sub-116	98	train	23910.0
sub-116	98	train	25830.0
sub-117	98	train	9600.0
sub-117	98	train	20730.0
sub-118	99	train	5160.0
sub-118	99	train	19080.0
sub-118	99	train	26670.0
sub-119	99	train	4980.0
sub-119	99	train	19410.0
sub-120	99	train	210.0
sub-120	99	train	480.0
sub-120	99	train	7290.0
sub-120	99	train	13830.0
sub-120	99	train	20070.0
sub-120	99	train	23580.0
sub-121	100	train	630.0
sub-121	100	train	1860.0
sub-121	100	train	2490.0
sub-121	100	train	3060.0
sub-121	100	train	8850.0
sub-121	100	train	9600.0
sub-121	100	train	10560.0
sub-121	100	train	15630.0
sub-121	100	train	22140.0
sub-121	100	train	24420.0
sub-121	100	train	24780.0
sub-121	100	train	24870.0
sub-121	100	train	26010.0
sub-121	100	train	26130.0
sub-122	101	train	6690.0
sub-122	101	train	9840.0
sub-123	102	test	5610.0
sub-123	102	test	7020.0
sub-123	102	test	15630.0
sub-124	15	validation	1050.0
sub-124	15	validation	26580.0
sub-125	104	train	3990.0
sub-125	104	train	13230.0
sub-125	104	train	29280.0
sub-126	106	validation	570.0
sub-126	106	validation	1710.0
sub-127	107	test	24660.0
sub-128	108	train	16350.0
