subject	pid	condition	epochs	context_rows	feature_dimensions	all_features_finite	path_relative_to_data_parent	bytes	sha256
sub-15	10	TRAIN-HB1-10DB	1093	1079	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-15_features_v0.1.npz	41997	52a71784ae4feec3a44dbe196613d4d8354d083d5facee6e5d40ebbb883d230c
sub-15	10	TRAIN-HB2-10DB	1093	1079	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-15_features_v0.1.npz	42114	330ff67eccb5a7067d221df2070905070be12098dfbac21c5f07f1d7e956b29b
sub-16	11	TRAIN-BOTH-20DB	1023	1009	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-16_features_v0.1.npz	39452	e68c2b0d2494aa9cfe7f2c369c29b6b1b43028fef52ebb39a533bda1ab07515d
sub-16	11	TRAIN-BOTH-10DB	1023	1009	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-16_features_v0.1.npz	38518	3e8520c95fdbcb9be4341a5181aa97b7c96a2676bb1b9dc4af68cda75f61cf92
sub-16	11	TRAIN-HB1-10DB	1023	1009	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-16_features_v0.1.npz	39539	af124ca346eb004f08ca40083c5cc55b52a4668dcbe8c064184251e05067a93c
sub-16	11	TRAIN-HB2-10DB	1023	1009	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-16_features_v0.1.npz	39446	db373031e3a3c9b849f373f659965a5c16b0f43991c7fb3b70ba847866fdafb0
sub-17	92	TRAIN-BOTH-20DB	981	967	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-17_features_v0.1.npz	37741	d16184b01a618a41395ded43a5423a71ad388a9ddd60c8dabda276239814d4dd
sub-17	92	TRAIN-BOTH-10DB	981	967	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-17_features_v0.1.npz	37162	c0b82bfcd140b6c6c467bfe2c05436f2b85c3e970deefb936ddc354aeb521804
sub-17	92	TRAIN-HB1-10DB	981	967	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-17_features_v0.1.npz	37753	5934b1628eed0e93c22f4d37d19db580432f0c7959a5a6244c3d4a6aababbbd8
sub-17	92	TRAIN-HB2-10DB	981	967	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-17_features_v0.1.npz	37652	000715a8dea819e5cd3ba75f69541f594904be5a803323673c5bb96ff76f2e73
sub-19	93	TRAIN-BOTH-20DB	1012	1005	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-19_features_v0.1.npz	39045	b4d215240ce0ecdea9b061d8bca965216069f89544d7e291395881de03979f93
sub-19	93	TRAIN-BOTH-10DB	1012	1005	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-19_features_v0.1.npz	38633	2b6820323b72e9a4ef4762ee4ba1bcbe61da4ffc13709c4526f8ea8b4a60a0f7
sub-19	93	TRAIN-HB1-10DB	1012	1005	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-19_features_v0.1.npz	39460	d513c2de1b71578a240082cc486e3bb6ffaf7836d49142836a5a0f29f78cda71
sub-19	93	TRAIN-HB2-10DB	1012	1005	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-19_features_v0.1.npz	39271	41b5a4a3601f6e23bded98547dfbd88a0413e6845206102e1c4f425abf052f14
sub-20	13	TRAIN-BOTH-20DB	1048	1041	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-20_features_v0.1.npz	40221	33574018b13ff75e78d25e182e8f6fe11562302e488fdb908c7eb022d7670e23
sub-20	13	TRAIN-BOTH-10DB	1048	1041	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-20_features_v0.1.npz	39539	ca9dfdc501eeb71b3afd4a33069818a761d515098d6f11675c87192f6cfb760a
sub-20	13	TRAIN-HB1-10DB	1048	1041	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-20_features_v0.1.npz	40273	710e39caa521f7c11509e0c959492769ab81765f3d0330fcb3d5d4cd70c96092
sub-20	13	TRAIN-HB2-10DB	1048	1041	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-20_features_v0.1.npz	40334	8ac4d1d9bdd9febafbf185da632b7b85df54bc49473730ae19800aad252fe89d
sub-21	93	TRAIN-BOTH-20DB	1043	1036	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-21_features_v0.1.npz	40162	0dc50e5f83b5218ffb80a0038b9d45c562e7bcd2790050e0eb3c9e6217389fa5
sub-21	93	TRAIN-BOTH-10DB	1043	1036	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-21_features_v0.1.npz	39580	37e4cdba8a090edf98cc944a3c572769b39314da5057be8be96db85d52074160
sub-21	93	TRAIN-HB1-10DB	1043	1036	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-21_features_v0.1.npz	40621	ecb212ee72dee0a3f2f1f7e9744b5f0f9374be489e5ff2faee3f8d00b983b57c
sub-21	93	TRAIN-HB2-10DB	1043	1036	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-21_features_v0.1.npz	40535	2075455b7678533a415cfedc1c9c37de64fe54b0332875e03e508eca05e1d917
sub-22	14	TRAIN-BOTH-20DB	1034	1027	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-22_features_v0.1.npz	39931	10d2a7ea92a70105a9ebf8b513a91ca1a11bb324fee917692820e0bb738b86f8
sub-22	14	TRAIN-BOTH-10DB	1034	1027	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-22_features_v0.1.npz	38928	770e45c5ca78bfb3294f6263352e80faf105067be87ac042ace2589a74479e8f
sub-22	14	TRAIN-HB1-10DB	1034	1027	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-22_features_v0.1.npz	39846	956d6773412503691db85b48c7a994dcc4f1e05daf9c966963e3d3ae59a4a66a
sub-22	14	TRAIN-HB2-10DB	1034	1027	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-22_features_v0.1.npz	39852	d2c7b220a6f7743f21a3fe01d7ab435497a83854b1701e994bd04d5a5b627510
sub-24	16	TRAIN-BOTH-20DB	933	926	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-24_features_v0.1.npz	36031	ebc0fd82f85623f34dd7bc4b1a5671347dbffc0d2cb18fde4dfe527cae44bb3e
sub-24	16	TRAIN-BOTH-10DB	933	926	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-24_features_v0.1.npz	35968	3539b4e990c6ca50ca7f661b419d2177abaedbdcd796967ae3f8eed1bd18e6e3
sub-24	16	TRAIN-HB1-10DB	933	926	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-24_features_v0.1.npz	35250	252f3697ab6252abbec13e21f4402e435c73c2cc8864ab7d3ab0cdf1626e39bb
sub-24	16	TRAIN-HB2-10DB	933	926	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-24_features_v0.1.npz	35179	182b9fd60b4248427be56d0d6585ef7d19c3bf57f8a84b02897b0b93cc855314
sub-27	19	TRAIN-BOTH-20DB	952	945	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-27_features_v0.1.npz	36532	4a36a24f9ea7679afd7f49cb502f2325356579ad93849c07d80eb186262d3f52
sub-27	19	TRAIN-BOTH-10DB	952	945	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-27_features_v0.1.npz	35354	7ea148a72a31382764832a09b2af7473b33e7c2452d51380b0c798f31d433ed7
sub-27	19	TRAIN-HB1-10DB	952	945	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-27_features_v0.1.npz	36527	9bdc45f77239b7acc6c6d1de7f8691a814e1950a3c4284b28f8b35676598a8a7
sub-27	19	TRAIN-HB2-10DB	952	945	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-27_features_v0.1.npz	36544	6792a128852a9bf4ff3b8618206cff9f2d61e50dfbd54cc88db5f1a545af75ce
sub-28	20	TRAIN-BOTH-20DB	859	852	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-28_features_v0.1.npz	33367	c48ee5df80784a5868527a5e062cbb03c41bdfbd9512945a9472ca1b032b1025
sub-28	20	TRAIN-BOTH-10DB	859	852	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-28_features_v0.1.npz	32326	2aebf11d31e03f042b3a54591d8ad1ba2a841330c65940ee836ab321006926f2
sub-28	20	TRAIN-HB1-10DB	859	852	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-28_features_v0.1.npz	33022	e8ed2eee8c3217b1c6010a6b1ce97fa3be9586b79858ea540e83bd04fb020939
sub-28	20	TRAIN-HB2-10DB	859	852	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-28_features_v0.1.npz	32937	7eb0b269b94fbb478b0e967f9e3f4878003d9263474b9c6131ca4fac63821a63
sub-29	21	TRAIN-BOTH-20DB	1108	1101	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-29_features_v0.1.npz	42947	d59ca999abfcd8795a5d4399206e1127e2d7fde4a116df97151b72b4b047f489
sub-29	21	TRAIN-BOTH-10DB	1108	1101	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-29_features_v0.1.npz	43390	384444eefba8baf2027101d75600e06106d52572526e888a94f9e67933d59fe4
sub-29	21	TRAIN-HB1-10DB	1108	1101	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-29_features_v0.1.npz	42680	7d0a1e937e4ddb1b71461fb0c813bbbc8f9369b86820e5e4bdfcfc2c4b5e56a9
sub-29	21	TRAIN-HB2-10DB	1108	1101	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-29_features_v0.1.npz	44012	5c78c4d0910f0ea131e8868256bf2c353af957640d869ca0b0fb65e20952c1d5
sub-30	94	TRAIN-BOTH-20DB	834	827	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-30_features_v0.1.npz	32356	6418bd70187ab6fcded8a171c2af152ca1a6660676223f1de98538b0064e56c0
sub-30	94	TRAIN-BOTH-10DB	834	827	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-30_features_v0.1.npz	31494	c44945338b269b7ba589738cb1056a82eb70771e9aec930b3974e34936d68f4e
sub-30	94	TRAIN-HB1-10DB	834	827	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-30_features_v0.1.npz	32333	e994114faa15664858646547168853542a2d22750dffa67cc375ba1d9a684933
sub-30	94	TRAIN-HB2-10DB	834	827	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-30_features_v0.1.npz	32365	5150b20242b52549df62bfe1da2a6eb91c354a5a116bcfab370e530bf41abad4
sub-31	95	TRAIN-BOTH-20DB	850	843	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-31_features_v0.1.npz	32914	187ed6529a07b6d517b01056e43c1ad13b7bd61e9a964dc144f8ab4f4363c2ca
sub-31	95	TRAIN-BOTH-10DB	850	843	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-31_features_v0.1.npz	31986	51c3b595b8daefc76133831f825c0f05d12e7354f5a6edb67d55d757c64c1345
sub-31	95	TRAIN-HB1-10DB	850	843	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-31_features_v0.1.npz	32955	052c70bad9223830a1848377abb442c1d7d9492fdd99e90f1be504b240418e8e
sub-31	95	TRAIN-HB2-10DB	850	843	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-31_features_v0.1.npz	32927	54874458fd28731cff59d387aa3b93dac55c34453b00b756cd17123e690e19b4
sub-33	84	TRAIN-BOTH-20DB	876	869	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-33_features_v0.1.npz	33490	5ce28a92ef7951924f76aafaaccf695e0957a1f26871cafb662342a233eea5e2
sub-33	84	TRAIN-BOTH-10DB	876	869	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-33_features_v0.1.npz	33208	f7e3fd6bb3dc56acdf77b05e50a578a72d63100313d514ea5e4bf0358fa7c34b
sub-33	84	TRAIN-HB1-10DB	876	869	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-33_features_v0.1.npz	33554	15b1f40a480a16cae2e21c9596bb7696604fa1817c83b45840a5795eb9abbdd1
sub-33	84	TRAIN-HB2-10DB	876	869	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-33_features_v0.1.npz	33546	d6b67a93a84db50a8169c77e028498af6b77e1289ccfc2cc6347cd5ce691bb32
sub-36	84	TRAIN-BOTH-20DB	895	888	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-36_features_v0.1.npz	34192	dc82a5af95f93fcf7415e7fbe70e507f815a8a79b44eb4594f6229ddb64706f6
sub-36	84	TRAIN-BOTH-10DB	895	888	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-36_features_v0.1.npz	34055	3b5ba41a15e50dfaa1b3a6b745df5c51e767da3eed0dbd32662e79a1c98ff5d5
sub-36	84	TRAIN-HB1-10DB	895	888	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-36_features_v0.1.npz	34188	ece7a81258a1b77e68fede095ff769ff3a25cfc6e1904f31fa0666d4ac212ffe
sub-36	84	TRAIN-HB2-10DB	895	888	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-36_features_v0.1.npz	34166	ea9ba90ddaf84ba3049b32de79637bc1242cdbef0f85567ae6ae0eee0db593ae
sub-38	87	TRAIN-BOTH-20DB	851	844	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-38_features_v0.1.npz	32277	4b4fea33cd1e98340446d3a8e57421ccbbe3dd50121f0e89c142b6d0a8bb6eab
sub-38	87	TRAIN-BOTH-10DB	851	844	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-38_features_v0.1.npz	32034	1ad0d5305b79034679cd15da5b17b667c6be0bf8c98de3e0099432a8b5c78eab
sub-38	87	TRAIN-HB1-10DB	851	844	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-38_features_v0.1.npz	32495	e450e009b2d726eed3704f04fe7b3a85f25c91e53fa87a285e22d8ac880cd303
sub-38	87	TRAIN-HB2-10DB	851	844	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-38_features_v0.1.npz	32439	19297816697cf451c4bd475636ec9af17bbefde0bfa607e8d3af15ec5cf9ef04
sub-39	85	TRAIN-BOTH-20DB	900	886	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-39_features_v0.1.npz	34937	79d3a8789f84357ba17f51a57f8e06b8d789e8a143738cfc7935b6f695b55d55
sub-39	85	TRAIN-BOTH-10DB	900	886	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-39_features_v0.1.npz	33852	0c9108d57d80a8a6ba3039d02a4555941ceb999acc2fc18dd266c0dfb571c060
sub-39	85	TRAIN-HB1-10DB	900	886	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-39_features_v0.1.npz	34864	3fc78326504446b723edd62f127fcc5a5a8eee6a5d0f3966a5dd788983b86425
sub-39	85	TRAIN-HB2-10DB	900	886	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-39_features_v0.1.npz	34806	f1c81b96fcec421c5077f061d8f481c128cfe29013b072e30d80ecf4e05db6cd
sub-42	84	TRAIN-BOTH-20DB	894	887	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-42_features_v0.1.npz	34253	47c7d2f2702f41bdbef08dc137ce5dfdb41720cbf4eb892da6869eaab58cd6eb
sub-42	84	TRAIN-BOTH-10DB	894	887	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-42_features_v0.1.npz	33855	115638454f56ba39106015ed17a9badec78919284cb4e7a0be95f3c95fe5a1e3
sub-42	84	TRAIN-HB1-10DB	894	887	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-42_features_v0.1.npz	34273	80f9cbe43eb99c7310f5d8793374d213c478d792a9747b983f559fc73c781dfa
sub-42	84	TRAIN-HB2-10DB	894	887	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-42_features_v0.1.npz	34220	1f48c25a1ff49035fa5991040715248d5a4051c12c2e7eb661bbc93ac3274490
sub-43	87	TRAIN-BOTH-20DB	825	811	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-43_features_v0.1.npz	31768	2fed9f615c3c7dfb1d3b713938e976d7a92f253b29e38a5a621a7452b37acb23
sub-43	87	TRAIN-BOTH-10DB	825	811	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-43_features_v0.1.npz	30974	8138470a980c7921f92b21e9dc1f0d02d74c09d2c0d95a9b1b09c7cb124fe685
sub-43	87	TRAIN-HB1-10DB	825	811	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-43_features_v0.1.npz	31785	9799fe0b955ffb2fff881d7feb28aaca3c4a4d215741527005176a7bd3771f49
sub-43	87	TRAIN-HB2-10DB	825	811	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-43_features_v0.1.npz	31750	5f64c3dedcb9101f1e751aa8e5547eebaf3460124ed981f21e5f7d6458bd9921
sub-45	24	TRAIN-BOTH-20DB	820	806	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-45_features_v0.1.npz	31778	60c51cca49b70d687801a81a7cb136d2edcf4b889f3f8915c81ccad59893c0d6
sub-45	24	TRAIN-BOTH-10DB	820	806	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-45_features_v0.1.npz	30940	fb1632fe3e813a71d2d4f7f7c570b991f13f559f3a4763e4f656db0d5cf34f84
sub-45	24	TRAIN-HB1-10DB	820	806	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-45_features_v0.1.npz	31873	4471d007d3e6eed1bea9ef359bf29d923693a120722cec571eff8921bb0befa4
sub-45	24	TRAIN-HB2-10DB	820	806	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-45_features_v0.1.npz	31774	d7960abbf4b42a6e115db3a8da34ca0b955efe091ce2da0c5b3ff2ea773b2796
sub-47	87	TRAIN-BOTH-20DB	799	785	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-47_features_v0.1.npz	30784	cda90c7ac36650d0f0e8585e7b145bf4a63a787550354eb2860b4377f8e9d1e6
sub-47	87	TRAIN-BOTH-10DB	799	785	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-47_features_v0.1.npz	30665	297c72bb633fdcd956da12df1c2cf41fb64fe7b4ed06b917a616386f0929b744
sub-47	87	TRAIN-HB1-10DB	799	785	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-47_features_v0.1.npz	30807	66c117292f8762a2021d69bfbf87fbeab1cb4003c1b1a0d30b33b824bccfeee3
sub-47	87	TRAIN-HB2-10DB	799	785	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-47_features_v0.1.npz	30714	e166096ba51385c38fde5227c0004309b25628d45b8b38264806ecddba756cea
