quality_version	structural_quality_version	amplitude_quality_version	transition_id	subject	participant_id	pid	transition_type	is_primary_label	nominal_boundary_sec	window_start_sample	window_stop_sample	eeg_envelope_proxy_status	amplitude_window_decision	amplitude_review_priority	structural_critical_flags	amplitude_critical_flags	amplitude_review_flags	combined_critical_flags	combined_review_flags	preprocessing_decision	previous_quality_version	previous_preprocessing_decision	actual_window_samples	expected_window_samples	full_window_coverage	coverage_critical_flag	new_critical_exclusion_v0.3
v0.3	v0.1	v0.1	383	sub-100	sub-100	67	REM_to_Wake	True	27990.0	7134720	7196160	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	384	sub-101	sub-101	68	REM_to_Wake	True	8460.0	2135040	2196480	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	385	sub-101	sub-101	68	Wake_to_REM	False	8490.0	2142720	2204160	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	386	sub-101	sub-101	68	REM_to_Wake	True	8610.0	2173440	2234880	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	387	sub-101	sub-101	68	Wake_to_REM	False	8670.0	2188800	2250240	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	388	sub-101	sub-101	68	REM_to_Wake	True	8790.0	2219520	2280960	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	389	sub-101	sub-101	68	REM_to_Wake	True	23820.0	6067200	6128640	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	390	sub-101	sub-101	68	Wake_to_REM	False	23850.0	6074880	6136320	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	391	sub-101	sub-101	68	REM_to_Wake	True	24960.0	6359040	6420480	lag_review	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	392	sub-102	sub-102	69	REM_to_Wake	True	18720.0	4761600	4823040	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	393	sub-102	sub-102	69	Wake_to_REM	False	18750.0	4769280	4830720	lag_review	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	394	sub-102	sub-102	69	REM_to_Wake	True	19740.0	5022720	5084160	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	395	sub-102	sub-102	69	REM_to_Wake	True	25620.0	6528000	6589440	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	396	sub-104	sub-104	72	REM_to_Wake	True	23550.0	5998080	6059520	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	397	sub-104	sub-104	72	REM_to_Wake	True	24510.0	6243840	6305280	near_zero_lag	review	targeted_review	pass	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	398	sub-105	sub-105	73	REM_to_Wake	True	12540.0	3179520	3240960	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	399	sub-105	sub-105	73	REM_to_Wake	True	17310.0	4400640	4462080	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	400	sub-105	sub-105	73	REM_to_Wake	True	26760.0	6819840	6881280	lag_review	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	401	sub-106	sub-106	74	Wake_to_REM	False	19500.0	4961280	5022720	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	402	sub-106	sub-106	74	REM_to_Wake	True	24900.0	6343680	6405120	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	403	sub-107	sub-107	75	REM_to_Wake	True	19470.0	4953600	5015040	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	404	sub-108	sub-108	76	REM_to_Wake	True	11430.0	2895360	2956800	near_zero_lag	review	targeted_review	pass	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	405	sub-108	sub-108	76	REM_to_Wake	True	28110.0	7165440	7226880	lag_review	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	406	sub-108	sub-108	76	Wake_to_REM	False	29220.0	7449600	7511040	lag_review	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	407	sub-109	sub-109	96	REM_to_Wake	True	5940.0	1489920	1551360	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	408	sub-109	sub-109	96	REM_to_Wake	True	6240.0	1566720	1628160	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	409	sub-109	sub-109	96	Wake_to_REM	False	6270.0	1574400	1635840	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	410	sub-109	sub-109	96	REM_to_Wake	True	6960.0	1751040	1812480	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	411	sub-109	sub-109	96	REM_to_Wake	True	12300.0	3118080	3179520	lag_review	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	412	sub-109	sub-109	96	REM_to_Wake	True	23700.0	6036480	6097920	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	36	sub-11	sub-11	8	REM_to_Wake	True	10410.0	2634240	2695680	lag_review	review	targeted_review	pass	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	37	sub-11	sub-11	8	REM_to_Wake	True	24900.0	6343680	6405120	lag_review	review	targeted_review	pass	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_abrupt_jumps;amplitude:repeated_endpoints	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_abrupt_jumps;amplitude:repeated_endpoints	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	38	sub-11	sub-11	8	Wake_to_REM	False	24930.0	6351360	6412800	lag_review	review	targeted_review	pass	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_abrupt_jumps;amplitude:repeated_endpoints	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_abrupt_jumps;amplitude:repeated_endpoints	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	413	sub-110	sub-110	96	REM_to_Wake	True	6840.0	1720320	1781760	near_zero_lag	review	targeted_review	pass	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers;amplitude:repeated_endpoints	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers;amplitude:repeated_endpoints	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	414	sub-110	sub-110	96	REM_to_Wake	True	13200.0	3348480	3409920	near_zero_lag	review	targeted_review	pass	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers;amplitude:repeated_endpoints	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers;amplitude:repeated_endpoints	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	415	sub-110	sub-110	96	REM_to_Wake	True	19710.0	5015040	5076480	near_zero_lag	review	targeted_review	pass	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers;amplitude:repeated_endpoints	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers;amplitude:repeated_endpoints	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	416	sub-110	sub-110	96	REM_to_Wake	True	25680.0	6543360	6604800	lag_review	review	targeted_review	pass	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers;amplitude:repeated_endpoints	pass	amplitude:high_peak_to_peak;amplitude:high_robust_range;amplitude:many_10mad_outliers;amplitude:repeated_endpoints	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	417	sub-111	sub-111	96	REM_to_Wake	True	4320.0	1075200	1136640	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	418	sub-111	sub-111	96	Wake_to_REM	False	4350.0	1082880	1144320	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	419	sub-111	sub-111	96	REM_to_Wake	True	4470.0	1113600	1175040	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	420	sub-111	sub-111	96	REM_to_Wake	True	9960.0	2519040	2580480	lag_review	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	421	sub-111	sub-111	96	REM_to_Wake	True	20310.0	5168640	5230080	lag_review	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	422	sub-111	sub-111	96	REM_to_Wake	True	25800.0	6574080	6635520	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	423	sub-112	sub-112	97	REM_to_Wake	True	12180.0	3087360	3148800	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	424	sub-112	sub-112	97	REM_to_Wake	True	20400.0	5191680	5253120	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	425	sub-112	sub-112	97	Wake_to_REM	False	20460.0	5207040	5268480	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	426	sub-112	sub-112	97	REM_to_Wake	True	21270.0	5414400	5475840	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	427	sub-113	sub-113	97	REM_to_Wake	True	26040.0	6635520	6696960	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	428	sub-113	sub-113	97	Wake_to_REM	False	26130.0	6658560	6720000	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	429	sub-113	sub-113	97	REM_to_Wake	True	26220.0	6681600	6743040	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	430	sub-114	sub-114	97	REM_to_Wake	True	24120.0	6144000	6205440	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	431	sub-115	sub-115	98	REM_to_Wake	True	8580.0	2165760	2227200	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	432	sub-116	sub-116	98	REM_to_Wake	True	8760.0	2211840	2273280	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	433	sub-116	sub-116	98	REM_to_Wake	True	17070.0	4339200	4400640	lag_review	review	targeted_review	pass	pass	amplitude:high_robust_range;amplitude:many_10mad_outliers	pass	amplitude:high_robust_range;amplitude:many_10mad_outliers	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	434	sub-116	sub-116	98	Wake_to_REM	False	17100.0	4346880	4408320	lag_review	review	targeted_review	pass	pass	amplitude:high_robust_range;amplitude:many_10mad_outliers	pass	amplitude:high_robust_range;amplitude:many_10mad_outliers	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	435	sub-117	sub-117	98	REM_to_Wake	True	8280.0	2088960	2150400	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	436	sub-117	sub-117	98	Wake_to_REM	False	8310.0	2096640	2158080	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	437	sub-117	sub-117	98	REM_to_Wake	True	8850.0	2234880	2296320	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	438	sub-117	sub-117	98	Wake_to_REM	False	8880.0	2242560	2304000	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	439	sub-117	sub-117	98	REM_to_Wake	True	9180.0	2319360	2380800	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	440	sub-117	sub-117	98	Wake_to_REM	False	9210.0	2327040	2388480	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	441	sub-117	sub-117	98	REM_to_Wake	True	9480.0	2396160	2457600	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	442	sub-117	sub-117	98	REM_to_Wake	True	20640.0	5253120	5314560	near_zero_lag	review	targeted_review	pass	pass	amplitude:high_peak_to_peak;amplitude:many_10mad_outliers	pass	amplitude:high_peak_to_peak;amplitude:many_10mad_outliers	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	443	sub-118	sub-118	99	REM_to_Wake	True	5160.0	1290240	1351680	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	444	sub-118	sub-118	99	Wake_to_REM	False	5190.0	1297920	1359360	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	445	sub-118	sub-118	99	REM_to_Wake	True	19080.0	4853760	4915200	lag_review	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	446	sub-119	sub-119	99	REM_to_Wake	True	4980.0	1244160	1305600	lag_review	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	447	sub-119	sub-119	99	REM_to_Wake	True	6510.0	1635840	1697280	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	448	sub-119	sub-119	99	REM_to_Wake	True	19350.0	4922880	4984320	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	39	sub-12	sub-12	92	REM_to_Wake	True	5160.0	1290240	1351680	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	40	sub-12	sub-12	92	REM_to_Wake	True	9510.0	2403840	2465280	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	41	sub-12	sub-12	92	REM_to_Wake	True	9900.0	2503680	2565120	near_zero_lag	include	no_review_flag	pass	pass	pass	pass	pass	include	v0.2	include	61440	61440	True	pass	False
v0.3	v0.1	v0.1	42	sub-12	sub-12	92	REM_to_Wake	True	22800.0	5806080	5867520	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	43	sub-12	sub-12	92	Wake_to_REM	False	22830.0	5813760	5875200	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	44	sub-12	sub-12	92	REM_to_Wake	True	22890.0	5829120	5890560	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	45	sub-12	sub-12	92	REM_to_Wake	True	23490.0	5982720	6044160	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	46	sub-12	sub-12	92	REM_to_Wake	True	28170.0	7180800	7242240	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	47	sub-12	sub-12	92	REM_to_Wake	True	28290.0	7211520	7272960	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	48	sub-12	sub-12	92	Wake_to_REM	False	28320.0	7219200	7280640	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
