subject	pid	partition	psg_channel_count	headband_channel_count	psg_header_sidecar_match	headband_header_sidecar_match	psg6_eligible	psg2_eligible	hb2_eligible	reference_match	sampling_match	duration_match	pair_pass	failed_checks	psg_channel_signature	headband_channel_signature
sub-11	8	train	8	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-12	92	train	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-13	91	train	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-14	9	train	8	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-15	10	train	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-16	11	train	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-17	92	train	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-18	12	test	8	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-19	93	train	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-20	13	train	8	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-21	93	train	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-22	14	train	8	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-23	15	validation	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-24	16	train	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-25	17	validation	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-26	18	test	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-27	19	train	14	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2
sub-28	20	train	14	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2
sub-29	21	train	14	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2
sub-30	94	train	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-31	95	train	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-32	83	test	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-33	84	train	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-34	22	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-35	83	test	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-36	84	train	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-37	86	test	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-38	87	train	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-39	85	train	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-40	86	test	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-41	83	test	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-42	84	train	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-43	87	train	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-44	23	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-45	24	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-46	26	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-47	87	train	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-48	28	test	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-49	29	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-50	88	test	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-51	30	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-52	31	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-53	88	test	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-54	88	test	14	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-55	77	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-56	78	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-57	77	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-58	78	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-59	79	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-60	80	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-61	79	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-62	80	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-63	81	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-64	82	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-65	81	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-66	82	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-67	32	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-68	33	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-69	34	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-70	35	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-71	36	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-72	37	validation	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-73	38	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-74	39	train	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-75	40	validation	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-76	41	test	11	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
